caseid,agearr10,age_group,sex,marital_status,number_of_children,alcohol_consumption,smoking_status,stresslevel,source_of_stress,hours_worked,job_satisfication,discrimination_Frequency,ourdoor_activities,living_standard,health_level,personal_relationship_level,apperance_level,stress
826,96,7,1,1,0,6,3,2,1,6,6,6,2,6,5,8,5,Not very stressful
827,96,6,1,1,0,4,3,1,96,6,6,6,2,8,9,9,10,Not at all stressful
828,96,5,1,1,0,4,3,3,6,6,6,6,2,8,5,7,8,A bit stressful
829,96,5,1,1,0,5,3,1,96,6,6,6,2,5,9,10,7,Not at all stressful
830,96,5,2,1,0,5,3,2,1,3,1,6,2,9,9,9,8,Not very stressful
831,96,6,1,1,0,5,3,3,1,3,6,6,2,10,10,10,8,A bit stressful
832,4,6,1,4,0,3,3,3,3,2,2,6,1,10,10,10,10,A bit stressful
833,96,5,2,2,0,5,3,2,2,1,1,6,2,7,10,10,7,Not very stressful
834,6,5,1,1,0,6,3,5,6,6,6,6,1,8,8,10,10,Extremely stressful
835,96,4,1,1,0,3,1,3,2,6,6,6,2,8,8,10,8,A bit stressful
836,96,1,1,6,0,4,2,2,4,1,1,6,2,9,7,6,6,Not very stressful
837,96,4,1,6,0,5,3,2,2,3,1,6,1,3,7,8,5,Not very stressful
838,96,4,1,2,0,3,3,1,96,3,4,6,2,8,9,8,8,Not at all stressful
839,96,7,1,1,0,6,3,1,96,6,6,6,2,10,10,10,8,Not at all stressful
840,3,5,1,1,1,7,3,3,2,6,6,6,1,5,7,9,7,A bit stressful
841,96,7,2,3,0,5,3,3,3,6,6,6,1,5,3,10,6,A bit stressful
842,96,7,1,1,0,6,3,1,96,6,6,6,1,10,9,10,8,Not at all stressful
843,96,2,1,1,1,1,3,3,5,4,3,6,2,6,8,8,8,A bit stressful
844,96,5,2,1,0,3,1,3,2,6,6,6,2,5,5,8,8,A bit stressful
845,5,4,1,1,1,7,3,4,7,1,6,6,2,10,7,9,0,Quite A bit stressful
846,96,2,1,6,0,5,3,3,2,3,4,2,2,5,6,8,4,A bit stressful
847,4,5,2,1,0,7,3,4,2,3,2,6,1,5,7,9,7,Quite A bit stressful
848,96,4,1,1,1,3,3,2,1,3,2,6,2,8,8,8,8,Not very stressful
849,96,4,1,5,0,5,1,4,2,3,2,6,2,4,3,0,0,Quite A bit stressful
850,4,5,2,1,0,2,3,3,6,6,6,6,2,9,5,5,5,A bit stressful
851,96,6,1,1,0,6,1,3,6,6,6,6,1,5,0,8,5,A bit stressful
852,2,3,2,6,0,5,3,2,1,3,2,6,2,9,8,7,8,Not very stressful
853,96,1,1,6,3,3,2,5,3,1,4,6,1,4,7,8,4,Extremely stressful
854,96,6,1,1,0,3,3,2,6,6,6,6,1,9,6,8,9,Not very stressful
855,96,6,1,6,0,7,3,1,96,4,1,6,1,6,6,7,6,Not at all stressful
856,96,1,2,6,0,5,3,1,96,3,1,6,2,10,7,8,8,Not at all stressful
857,96,5,2,1,0,3,3,2,5,1,6,6,2,9,7,9,9,Not very stressful
858,96,5,2,5,0,4,3,2,5,6,6,6,2,9,7,9,7,Not very stressful
859,3,7,1,1,0,4,3,1,96,6,6,6,2,8,8,10,10,Not at all stressful
860,96,2,2,6,0,3,3,2,1,3,2,6,2,8,8,8,8,Not very stressful
861,96,3,1,1,3,2,3,2,5,3,2,6,2,9,8,9,8,Not very stressful
862,96,5,2,1,0,6,3,4,1,9,6,1,1,3,6,8,10,Quite A bit stressful
863,96,5,2,5,0,4,1,3,6,6,6,6,2,5,4,8,6,A bit stressful
864,96,3,1,4,0,5,3,2,1,3,2,6,2,9,7,4,8,Not very stressful
865,96,4,2,1,2,5,3,4,1,3,3,6,2,8,7,9,6,Quite A bit stressful
866,4,7,1,3,0,1,3,2,3,6,6,6,2,9,8,9,8,Not very stressful
867,96,5,2,1,0,5,3,2,5,3,2,6,2,9,8,9,7,Not very stressful
868,96,4,2,1,0,1,3,3,7,6,6,6,2,10,9,8,9,A bit stressful
869,5,5,1,1,0,7,3,2,1,4,1,2,2,8,8,10,8,Not very stressful
870,96,4,2,2,0,4,3,2,1,3,1,6,2,10,10,10,10,Not very stressful
871,4,4,2,1,1,5,3,3,2,6,6,6,1,5,7,9,8,A bit stressful
872,96,2,1,6,0,4,3,1,96,3,2,6,2,9,9,8,9,Not at all stressful
873,96,6,2,1,0,5,3,3,3,6,6,6,1,7,3,2,8,A bit stressful
874,96,4,2,1,3,1,3,4,5,6,6,6,2,7,6,4,7,Quite A bit stressful
875,96,4,2,6,0,5,3,4,1,3,2,6,2,3,4,4,6,Quite A bit stressful
876,96,1,1,6,0,4,3,4,98,3,4,6,2,8,9,4,8,Quite A bit stressful
877,96,6,2,1,0,6,3,3,6,1,6,6,2,8,2,7,7,A bit stressful
878,96,7,2,1,0,7,3,3,97,6,6,6,1,10,10,10,10,A bit stressful
879,96,5,2,1,0,2,3,3,1,4,2,6,2,8,8,8,8,A bit stressful
880,96,5,1,1,0,5,1,3,1,3,3,6,1,6,6,3,3,A bit stressful
881,96,7,2,3,0,6,3,1,96,6,6,6,1,10,7,10,10,Not at all stressful
882,96,6,1,1,0,1,3,1,96,6,6,6,2,10,9,10,8,Not at all stressful
883,3,3,2,1,1,7,3,2,3,1,6,3,2,7,7,7,7,Not very stressful
884,96,2,1,6,0,5,1,1,96,3,1,6,2,8,7,10,8,Not at all stressful
885,96,5,1,2,0,1,3,2,1,6,6,6,2,8,7,7,7,Not very stressful
886,96,7,2,1,0,3,3,2,97,6,6,6,2,9,9,8,7,Not very stressful
887,96,4,1,1,2,2,3,3,5,4,6,6,2,7,8,9,8,A bit stressful
888,96,3,1,1,1,6,2,3,1,4,6,6,1,7,9,8,8,A bit stressful
889,96,3,2,5,3,3,3,1,96,3,6,6,2,10,9,10,9,Not at all stressful
890,96,4,2,6,0,5,3,2,2,3,1,6,2,6,8,8,7,Not very stressful
891,96,2,2,1,2,3,3,3,5,3,1,6,2,9,8,9,8,A bit stressful
892,96,4,2,6,0,4,3,3,1,4,1,6,2,9,9,9,9,A bit stressful
893,96,4,2,6,0,5,3,3,1,4,2,6,2,7,7,5,6,A bit stressful
894,96,4,2,5,0,5,3,3,2,4,6,6,2,8,4,9,9,A bit stressful
895,96,4,1,1,2,3,3,1,96,4,1,6,2,10,10,10,9,Not at all stressful
896,96,5,1,1,0,6,3,3,5,4,1,6,2,9,10,10,10,A bit stressful
897,96,5,1,1,0,6,3,3,2,6,6,6,1,5,3,6,5,A bit stressful
898,96,4,2,2,3,7,1,3,3,1,6,6,2,5,8,8,6,A bit stressful
899,96,3,1,1,2,5,3,3,2,4,1,6,2,7,7,8,9,A bit stressful
900,96,5,1,2,0,1,3,2,3,4,6,6,2,8,5,8,6,Not very stressful
901,96,3,2,1,0,4,1,3,1,3,2,1,2,10,10,10,10,A bit stressful
902,96,4,1,1,1,6,3,3,1,3,4,2,2,7,7,9,4,A bit stressful
903,96,4,2,1,0,7,2,3,3,3,2,6,2,6,5,10,5,A bit stressful
904,5,4,2,1,1,5,3,3,1,4,1,6,2,10,8,8,8,A bit stressful
905,96,5,2,6,0,4,3,2,6,3,2,6,2,7,5,7,8,Not very stressful
906,96,2,1,6,0,5,3,2,2,3,1,6,2,9,8,9,8,Not very stressful
907,96,4,1,1,2,4,3,2,5,3,1,6,2,9,8,9,7,Not very stressful
908,96,2,1,2,0,2,3,4,1,3,2,6,2,10,10,10,8,Quite A bit stressful
909,96,4,2,1,0,6,3,3,6,6,6,6,1,9,1,10,9,A bit stressful
910,96,6,2,1,0,3,3,1,96,6,6,6,1,10,8,10,9,Not at all stressful
911,96,2,2,6,2,7,3,2,5,6,6,6,2,10,6,10,6,Not very stressful
912,96,5,1,6,0,5,3,1,96,6,6,6,2,9,7,8,7,Not at all stressful
913,1,5,1,1,0,3,3,1,96,6,6,6,1,7,6,7,6,Not at all stressful
914,96,6,2,3,0,6,3,1,96,6,6,6,1,9,5,9,5,Not at all stressful
915,96,4,2,1,0,3,3,1,96,6,6,6,2,9,7,9,8,Not at all stressful
916,96,3,1,6,0,5,1,5,1,3,2,6,1,7,1,2,3,Extremely stressful
917,96,3,1,1,1,2,3,1,96,4,1,6,2,8,8,8,8,Not at all stressful
918,2,2,2,2,1,5,3,2,3,3,6,6,2,8,7,9,7,Not very stressful
919,96,7,2,3,0,4,3,3,6,6,6,6,1,6,8,10,10,A bit stressful
920,96,6,2,2,0,3,3,2,97,6,6,6,2,10,8,8,8,Not very stressful
921,96,7,2,3,0,5,3,3,6,6,6,6,1,5,5,10,9,A bit stressful
922,3,7,1,6,0,7,3,1,96,6,6,6,1,10,10,10,10,Not at all stressful
923,96,5,2,1,0,5,3,3,3,2,2,6,2,9,8,6,7,A bit stressful
924,96,6,1,2,0,1,3,1,96,6,6,6,2,10,9,9,9,Not at all stressful
925,96,5,1,6,0,7,3,3,2,3,1,6,2,10,7,7,8,A bit stressful
926,96,4,1,1,2,5,3,1,96,4,6,6,2,10,9,10,9,Not at all stressful
927,96,3,1,1,0,4,3,2,7,3,2,6,2,7,9,9,9,Not very stressful
928,96,1,1,2,0,6,3,4,2,2,1,6,2,8,6,10,5,Quite A bit stressful
929,96,7,1,6,0,2,3,2,7,6,6,6,2,10,7,3,7,Not very stressful
930,96,7,2,5,0,7,3,2,3,6,6,6,1,8,8,9,9,Not very stressful
931,96,5,1,2,0,7,3,3,7,6,6,6,2,5,5,10,10,A bit stressful
932,96,6,2,1,0,6,3,1,96,2,6,6,2,10,10,10,10,Not at all stressful
933,96,5,2,1,0,5,3,3,3,6,6,6,1,7,8,5,5,A bit stressful
934,96,5,1,1,0,2,3,2,1,3,2,6,1,5,5,5,4,Not very stressful
935,4,4,1,1,2,4,3,4,5,3,1,6,2,8,9,9,8,Quite A bit stressful
936,96,2,1,6,0,6,1,3,5,3,2,6,2,8,7,8,8,A bit stressful
937,96,4,2,2,0,4,3,3,7,3,1,6,2,9,9,8,8,A bit stressful
938,96,4,2,1,0,2,3,3,5,3,1,6,2,10,10,10,6,A bit stressful
939,96,5,1,1,0,5,3,3,2,3,2,6,2,5,6,6,6,A bit stressful
940,96,6,1,5,0,2,1,3,2,1,6,6,2,1,5,9,7,A bit stressful
941,96,7,1,3,0,6,3,3,6,6,6,6,1,9,0,3,3,A bit stressful
942,96,4,2,1,0,5,3,3,5,3,2,6,2,8,7,8,9,A bit stressful
943,96,6,1,1,0,1,3,3,6,6,6,6,1,10,2,10,3,A bit stressful
944,96,5,2,1,0,7,3,4,3,3,1,6,2,9,0,9,3,Quite A bit stressful
945,1,2,1,1,1,5,3,5,2,6,6,6,1,6,8,10,9,Extremely stressful
946,96,5,1,1,0,3,3,2,1,4,2,6,2,10,8,9,10,Not very stressful
947,96,3,1,1,0,4,3,4,7,4,2,6,2,7,7,8,8,Quite A bit stressful
948,96,6,2,3,0,2,2,3,7,6,6,6,1,7,7,6,7,A bit stressful
949,96,1,2,6,0,6,3,3,6,1,2,6,2,6,3,5,0,A bit stressful
950,96,4,1,6,0,3,3,4,2,4,6,6,2,6,7,7,7,Quite A bit stressful
951,96,1,2,6,0,2,3,2,5,3,1,6,2,10,7,10,7,Not very stressful
952,96,4,1,2,0,5,3,3,1,4,6,6,2,7,7,97,97,A bit stressful
953,96,4,2,1,0,4,3,2,5,3,6,6,2,7,7,9,5,Not very stressful
954,96,5,2,2,0,5,3,4,7,3,2,6,2,10,4,7,7,Quite A bit stressful
955,96,6,2,5,0,7,3,4,2,6,6,6,1,7,10,10,10,Quite A bit stressful
956,96,3,1,6,0,3,3,3,3,3,6,6,1,8,7,3,5,A bit stressful
957,96,3,2,1,2,6,3,4,1,4,1,6,2,7,6,8,3,Quite A bit stressful
958,96,1,2,6,0,6,2,3,4,2,2,6,1,8,8,8,8,A bit stressful
959,4,2,2,1,2,5,3,3,2,6,6,6,9,4,8,10,8,A bit stressful
960,96,5,1,1,0,4,3,4,7,6,6,6,1,6,5,5,7,Quite A bit stressful
961,96,2,2,6,0,6,3,2,5,3,2,6,2,8,9,9,8,Not very stressful
962,3,7,2,2,0,7,3,2,7,6,6,6,1,8,8,9,8,Not very stressful
963,96,6,2,1,0,5,3,3,3,6,6,6,2,10,10,10,8,A bit stressful
964,96,5,1,1,0,6,3,3,2,6,6,6,2,10,0,10,0,A bit stressful
965,2,1,1,6,0,7,3,2,4,6,6,6,2,9,10,10,10,Not very stressful
966,96,3,1,6,0,7,3,3,2,3,6,6,1,7,6,8,8,A bit stressful
967,2,6,2,3,0,6,3,5,6,6,6,6,1,5,0,2,2,Extremely stressful
968,4,4,2,1,1,5,3,3,1,3,2,6,2,8,8,7,6,A bit stressful
969,96,3,1,2,0,5,3,4,6,4,6,2,2,7,3,10,8,Quite A bit stressful
970,96,3,2,1,2,5,1,3,5,3,1,6,2,8,10,10,8,A bit stressful
971,96,1,2,6,0,2,3,3,4,3,5,6,2,8,8,10,8,A bit stressful
972,96,4,1,6,0,4,3,2,3,3,2,6,2,7,6,5,6,Not very stressful
973,5,4,1,1,0,4,3,3,1,3,2,6,2,7,8,7,7,A bit stressful
974,96,4,1,5,0,4,3,1,96,4,1,6,2,8,7,7,7,Not at all stressful
975,96,4,1,6,0,6,1,3,2,6,6,6,1,6,9,9,5,A bit stressful
976,96,4,1,6,0,4,3,4,1,3,2,6,2,8,7,6,7,Quite A bit stressful
977,96,6,1,1,0,6,3,3,3,6,6,6,1,4,0,0,4,A bit stressful
978,96,3,2,1,1,5,3,2,5,3,1,6,2,8,7,8,8,Not very stressful
979,3,6,2,5,0,6,1,3,6,6,6,6,1,3,3,0,5,A bit stressful
980,96,5,2,1,0,5,3,3,5,2,2,6,2,10,10,10,0,A bit stressful
981,96,4,1,1,1,6,3,2,1,3,1,6,2,7,7,8,10,Not very stressful
982,96,1,1,2,0,3,3,4,7,3,5,6,2,1,6,8,7,Quite A bit stressful
983,96,4,2,5,0,6,3,4,3,3,6,6,2,7,4,5,2,Quite A bit stressful
984,96,1,2,6,0,4,3,2,2,2,4,6,2,8,9,7,9,Not very stressful
985,96,5,2,6,0,7,3,1,96,6,6,6,1,10,10,10,9,Not at all stressful
986,96,4,1,1,0,5,3,3,5,4,6,6,1,10,10,10,10,A bit stressful
987,4,3,1,1,2,4,3,2,3,3,2,6,2,8,8,10,8,Not very stressful
988,96,4,2,5,1,4,3,3,2,3,2,6,2,7,9,6,6,A bit stressful
989,96,6,2,6,0,5,3,2,7,1,6,6,2,10,7,9,7,Not very stressful
990,96,4,2,1,0,6,3,3,5,6,6,6,2,8,8,9,8,A bit stressful
991,96,6,2,1,1,5,1,4,3,3,2,2,2,3,3,9,1,Quite A bit stressful
992,96,1,2,6,0,5,3,3,2,6,6,6,2,6,4,5,3,A bit stressful
993,96,4,2,1,1,3,3,4,2,6,6,6,1,4,5,5,5,Quite A bit stressful
994,96,6,2,3,0,4,3,1,96,6,6,6,2,10,8,10,8,Not at all stressful
995,96,6,1,1,0,1,3,1,96,6,6,6,1,8,8,10,8,Not at all stressful
996,96,3,1,6,0,7,3,1,96,6,6,6,1,7,8,4,5,Not at all stressful
997,96,6,1,3,0,5,3,2,3,1,6,6,2,8,8,8,8,Not very stressful
998,96,7,2,1,0,4,3,4,3,6,6,6,1,10,8,9,8,Quite A bit stressful
999,96,5,2,5,0,6,3,3,6,6,6,6,2,8,5,6,5,A bit stressful
1000,96,7,1,1,0,6,3,4,7,6,6,6,1,10,8,7,10,Quite A bit stressful
1001,96,5,2,1,0,4,3,3,1,3,1,6,2,7,7,9,6,A bit stressful
1002,96,5,2,3,0,5,2,3,1,3,6,2,2,7,10,9,10,A bit stressful
1003,96,7,2,3,0,7,3,1,96,6,6,6,1,10,8,9,7,Not at all stressful
1004,96,2,2,5,3,5,3,2,3,3,1,6,2,10,10,10,10,Not very stressful
1005,96,3,1,2,3,5,3,4,1,3,2,6,2,8,8,9,8,Quite A bit stressful
1006,96,2,2,2,2,5,3,4,1,3,3,6,2,8,8,8,8,Quite A bit stressful
1007,96,1,1,6,0,1,3,4,2,3,3,6,2,6,7,2,7,Quite A bit stressful
1008,96,1,1,6,0,3,2,3,2,3,6,6,2,6,7,8,6,A bit stressful
1009,96,2,1,1,1,4,3,4,5,4,6,6,2,10,8,6,8,Quite A bit stressful
1010,96,2,2,6,0,3,3,3,2,3,6,6,1,10,10,10,7,A bit stressful
1011,96,3,2,4,2,4,3,2,5,3,2,6,2,5,5,3,5,Not very stressful
1012,96,5,1,1,0,5,3,4,1,4,2,6,2,8,3,9,8,Quite A bit stressful
1013,96,3,2,2,1,97,7,7,97,3,2,6,2,97,97,97,97,Extremely stressful
1014,96,5,2,6,0,6,3,3,5,3,6,6,2,6,8,5,8,A bit stressful
1015,96,6,1,1,0,6,3,1,96,6,6,6,2,8,8,10,8,Not at all stressful
1016,96,2,1,2,1,3,3,3,5,3,1,6,2,7,6,7,5,A bit stressful
1017,96,2,2,1,0,6,3,3,1,3,2,6,1,9,9,10,8,A bit stressful
1018,3,6,2,3,0,5,3,3,3,6,6,6,1,7,6,7,6,A bit stressful
1019,96,4,2,2,0,6,3,2,3,3,1,6,1,8,8,9,8,Not very stressful
1020,96,5,1,1,0,5,1,3,3,4,6,6,2,7,8,8,8,A bit stressful
1021,4,4,1,1,0,6,2,1,96,4,2,6,2,8,9,8,9,Not at all stressful
1022,96,7,2,3,0,5,3,2,2,6,6,6,1,9,8,8,8,Not very stressful
1023,96,1,1,6,0,3,2,1,96,4,2,6,2,10,10,8,9,Not at all stressful
1024,96,3,2,2,0,3,3,3,1,3,3,6,2,8,9,9,6,A bit stressful
1025,96,2,1,1,3,5,1,2,2,3,1,6,2,10,10,10,10,Not very stressful
1026,96,6,1,1,0,98,8,4,6,6,6,6,1,5,0,8,8,Quite A bit stressful
1027,96,4,1,1,0,3,3,2,3,4,1,6,2,10,8,7,7,Not very stressful
1028,96,4,2,6,0,6,1,4,1,3,6,6,2,9,9,10,8,Quite A bit stressful
1029,96,1,2,6,1,7,3,4,7,6,6,6,2,5,5,7,5,Quite A bit stressful
1030,96,2,1,1,3,5,3,2,2,3,1,6,2,5,6,10,8,Not very stressful
1031,96,6,1,1,0,3,3,1,96,4,6,6,2,10,10,10,10,Not at all stressful
1032,96,6,1,6,0,5,3,1,96,9,9,6,2,7,8,4,7,Not at all stressful
1033,96,4,2,1,0,5,3,4,3,1,6,6,2,7,0,5,6,Quite A bit stressful
1034,96,3,2,1,2,3,3,3,1,3,2,6,2,9,8,8,7,A bit stressful
1035,96,4,2,5,0,2,1,3,2,1,4,6,2,5,5,2,5,A bit stressful
1036,96,5,2,6,0,3,3,2,2,3,1,6,2,9,9,7,8,Not very stressful
1037,96,2,1,2,0,4,3,3,1,3,1,6,2,8,9,10,10,A bit stressful
1038,96,3,2,6,0,4,3,3,2,1,6,6,2,7,7,8,8,A bit stressful
1039,96,4,2,1,1,3,3,3,1,3,1,6,2,8,10,8,6,A bit stressful
1040,96,5,2,5,0,6,2,3,2,6,6,6,1,0,1,4,10,A bit stressful
1041,96,5,2,3,0,5,3,3,5,3,2,6,2,8,8,8,7,A bit stressful
1042,96,1,1,6,0,6,3,5,3,3,2,6,2,9,8,3,8,Extremely stressful
1043,96,6,1,1,0,1,1,2,7,6,6,6,2,10,7,10,10,Not very stressful
1044,96,6,2,1,0,2,3,2,3,6,6,6,1,6,8,9,8,Not very stressful
1045,96,4,2,3,0,4,3,3,7,3,3,6,1,8,6,7,5,A bit stressful
1046,96,1,1,6,0,4,3,3,4,3,6,6,2,6,8,7,8,A bit stressful
1047,96,5,2,1,0,4,3,3,3,3,2,6,2,8,8,7,8,A bit stressful
1048,96,7,2,3,0,5,3,4,7,6,6,6,1,8,8,5,1,Quite A bit stressful
1049,96,5,2,1,0,2,3,4,3,3,1,6,2,8,7,10,7,Quite A bit stressful
1050,96,6,1,3,0,1,3,4,7,6,6,6,1,5,5,5,10,Quite A bit stressful
1051,96,2,2,1,2,3,3,4,5,4,2,6,2,9,4,8,7,Quite A bit stressful
1052,96,3,1,2,0,2,3,2,1,4,1,6,2,9,9,9,9,Not very stressful
1053,96,6,2,1,0,3,3,3,2,6,6,6,2,5,9,9,8,A bit stressful
1054,96,5,2,3,0,6,1,3,2,3,2,6,1,8,9,0,7,A bit stressful
1055,96,3,1,1,2,3,3,4,1,4,6,6,2,8,8,9,8,Quite A bit stressful
1056,96,3,2,1,2,5,3,2,2,3,1,6,2,8,7,6,2,Not very stressful
1057,96,4,2,2,1,4,2,4,1,4,3,6,2,10,6,3,3,Quite A bit stressful
1058,96,5,2,5,0,6,3,3,7,2,6,3,2,8,10,10,5,A bit stressful
1059,96,6,1,1,0,3,1,2,3,4,6,6,2,6,7,5,7,Not very stressful
1060,1,5,1,1,0,4,3,3,1,3,2,6,1,8,7,8,7,A bit stressful
1061,96,4,2,2,0,7,3,1,96,3,1,2,2,10,10,10,10,Not at all stressful
1062,96,1,1,6,0,6,3,3,2,2,2,6,2,7,8,8,7,A bit stressful
1063,96,4,2,1,0,5,3,2,1,2,6,4,2,10,8,9,9,Not very stressful
1064,96,6,1,1,0,6,3,3,6,6,6,6,2,8,7,6,7,A bit stressful
1065,96,2,2,6,0,6,3,4,3,6,6,6,2,6,4,3,3,Quite A bit stressful
1066,96,3,1,2,3,5,3,2,5,3,1,6,2,7,5,5,5,Not very stressful
1067,96,4,2,1,0,7,3,2,6,6,6,6,2,7,4,9,7,Not very stressful
1068,96,6,1,6,0,7,3,3,7,6,6,6,2,9,10,10,10,A bit stressful
1069,96,3,1,6,0,6,3,3,97,6,6,6,1,5,10,7,7,A bit stressful
1070,96,3,1,1,2,4,3,3,1,3,1,6,2,8,10,10,8,A bit stressful
1071,3,7,1,4,0,6,3,2,97,6,6,6,7,97,97,97,97,Not very stressful
1072,96,7,2,1,0,6,3,1,96,6,6,6,2,9,9,9,9,Not at all stressful
1073,6,6,2,6,0,6,3,3,6,1,6,6,1,8,7,10,10,A bit stressful
1074,2,3,2,1,1,6,3,3,7,1,6,6,2,8,8,8,7,A bit stressful
1075,4,4,2,1,0,6,1,5,1,3,1,3,2,0,0,10,7,Extremely stressful
1076,96,2,2,1,0,4,3,2,2,3,2,6,2,7,7,8,6,Not very stressful
1077,4,3,2,1,2,7,3,1,96,6,6,6,1,6,10,10,10,Not at all stressful
1078,96,5,1,1,0,5,3,3,5,4,1,6,2,9,8,9,9,A bit stressful
1079,96,6,1,6,0,6,3,3,6,6,6,6,2,8,5,5,7,A bit stressful
1080,3,3,1,1,0,6,3,3,5,3,2,6,1,8,7,8,7,A bit stressful
1081,96,1,1,6,0,1,3,2,5,6,6,6,2,5,5,4,4,Not very stressful
1082,96,4,2,1,1,6,3,3,4,3,2,6,1,9,9,9,7,A bit stressful
1083,96,3,1,1,1,5,3,4,1,4,2,6,2,7,8,6,8,Quite A bit stressful
1084,96,3,2,5,2,5,1,1,96,4,6,6,2,8,10,9,9,Not at all stressful
1085,96,7,2,3,0,7,3,2,7,6,6,6,1,8,8,9,8,Not very stressful
1086,96,5,1,1,0,2,3,3,5,4,1,6,2,9,9,9,8,A bit stressful
1087,96,2,2,2,3,6,1,3,7,1,6,6,2,5,7,8,5,A bit stressful
1088,96,2,1,2,3,7,3,1,96,4,6,6,2,9,9,10,8,Not at all stressful
1089,96,2,2,1,3,5,3,3,3,3,2,6,2,8,7,8,7,A bit stressful
1090,96,6,2,3,0,7,3,4,2,6,6,6,1,9,9,10,10,Quite A bit stressful
1091,96,6,1,1,0,3,3,1,96,3,6,6,2,8,8,10,8,Not at all stressful
1092,1,4,2,4,1,5,3,3,2,3,2,6,1,7,8,5,7,A bit stressful
1093,96,6,1,1,0,1,3,3,7,6,6,6,2,10,9,10,10,A bit stressful
1094,96,5,1,1,0,6,3,1,96,6,6,6,2,8,7,10,10,Not at all stressful
1095,96,5,1,1,0,2,3,2,5,6,6,6,2,8,8,7,6,Not very stressful
1096,4,3,2,1,0,6,3,4,5,3,2,6,2,7,7,9,5,Quite A bit stressful
1097,96,5,1,1,0,4,3,1,96,3,6,6,2,10,9,9,9,Not at all stressful
1098,96,6,2,4,0,6,3,1,96,6,6,6,2,8,5,9,5,Not at all stressful
1099,96,2,2,6,0,3,3,3,2,3,1,6,2,8,6,7,6,A bit stressful
1100,96,6,2,1,0,3,1,2,5,6,6,6,1,8,8,10,8,Not very stressful
1101,96,1,1,6,1,7,3,2,5,6,6,6,1,8,10,5,9,Not very stressful
1102,96,5,1,6,0,5,1,3,5,4,2,6,2,5,8,5,5,A bit stressful
1103,96,5,1,1,0,5,3,3,1,4,2,6,2,10,10,10,10,A bit stressful
1104,5,4,1,1,1,7,3,4,2,3,4,6,2,5,8,9,7,Quite A bit stressful
1105,96,2,2,2,0,5,3,3,6,3,1,6,2,8,7,9,8,A bit stressful
1106,96,5,1,6,0,7,3,3,5,3,6,6,2,10,8,8,8,A bit stressful
1107,96,2,1,2,0,2,1,4,2,3,1,6,2,7,5,8,8,Quite A bit stressful
1108,96,7,2,3,0,1,3,2,3,6,6,6,2,10,8,8,7,Not very stressful
1109,96,6,2,5,0,7,3,1,96,2,6,6,2,5,7,7,7,Not at all stressful
1110,96,6,1,1,0,4,3,2,3,6,6,6,2,8,8,9,8,Not very stressful
1111,96,5,2,1,0,7,3,2,1,3,3,6,2,8,8,8,8,Not very stressful
1112,3,1,2,6,1,6,3,2,1,4,1,6,2,9,8,7,7,Not very stressful
1113,2,3,1,6,0,5,3,4,4,6,6,6,2,5,7,8,7,Quite A bit stressful
1114,96,7,2,3,0,6,3,1,96,6,6,6,1,8,5,8,5,Not at all stressful
1115,96,2,1,6,0,3,3,3,6,3,6,6,1,8,6,2,4,A bit stressful
1116,96,7,1,3,0,7,3,3,6,6,6,6,1,7,6,9,10,A bit stressful
1117,96,5,2,1,0,5,3,3,1,3,2,6,2,9,8,7,3,A bit stressful
1118,96,2,2,6,1,7,1,3,1,3,2,6,1,8,7,8,8,A bit stressful
1119,4,7,1,4,0,1,3,1,96,6,6,6,2,10,10,9,9,Not at all stressful
1120,96,5,1,5,0,3,1,2,2,2,6,6,2,8,10,8,7,Not very stressful
1121,96,2,1,2,0,4,2,2,1,3,1,6,2,8,9,7,8,Not very stressful
1122,96,7,2,3,0,5,3,3,7,6,6,6,1,10,8,10,10,A bit stressful
1123,96,1,2,6,1,5,3,3,5,6,6,6,2,8,8,7,7,A bit stressful
1124,4,7,2,3,0,7,3,1,96,6,6,6,1,8,5,10,10,Not at all stressful
1125,96,1,2,6,0,5,3,4,2,3,1,6,1,10,6,7,4,Quite A bit stressful
1126,96,6,1,1,0,6,3,1,96,6,6,6,2,9,9,9,9,Not at all stressful
1127,96,5,2,1,0,3,3,2,3,6,6,6,2,10,7,10,7,Not very stressful
1128,96,7,1,1,0,4,3,3,6,6,6,6,2,7,5,10,7,A bit stressful
1129,3,7,1,3,0,5,3,2,5,6,6,6,2,9,9,10,8,Not very stressful
1130,96,5,1,3,0,3,3,3,6,3,2,6,2,5,5,5,8,A bit stressful
1131,96,2,2,6,0,5,1,3,1,4,1,6,2,10,10,10,8,A bit stressful
1132,96,5,2,1,0,1,3,1,96,2,2,6,2,10,10,9,9,Not at all stressful
1133,96,2,2,1,1,6,3,2,5,3,2,6,2,7,7,8,7,Not very stressful
1134,96,5,1,3,0,1,3,1,96,1,6,6,2,10,10,10,5,Not at all stressful
1135,96,2,1,6,0,5,3,4,1,3,4,6,1,8,7,10,5,Quite A bit stressful
1136,96,3,1,6,0,3,3,3,5,4,6,1,2,6,7,7,8,A bit stressful
1137,96,2,1,6,0,3,3,3,1,3,1,6,2,9,5,6,7,A bit stressful
1138,96,3,2,2,0,7,3,3,2,3,2,6,2,7,6,10,6,A bit stressful
1139,96,3,1,2,2,3,3,3,5,4,2,6,2,9,7,10,2,A bit stressful
